"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030258","BP","GO:0030258","lipid modification","9/162","194/18888",0.0463917525773196,5.40893470790378,5.74116331444717,4.62164516644731e-05,0.00970125335393349,0.00925655821375523,"ACADL/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/MBOAT7/IRS2",9
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","14/162","499/18888",0.0280561122244489,3.27113486231723,4.78223185656754,0.000104582025645437,0.0201233247679429,0.0192008929540263,"METTL15/MPHOSPH10/NUDT21/PRPF6/GLUL/ADAR/SRSF1/SRSF6/RRP1B/PDCD11/EXOSC7/CPSF7/PRPF19/NOP58",14
"GO:0033539","BP","GO:0033539","fatty acid beta-oxidation using acyl-CoA dehydrogenase","3/162","12/18888",0.25,29.1481481481481,9.07197729713259,0.000128728022163347,0.0213228180677109,0.0203454027561346,"ACADL/ETFB/ACADVL",3
"GO:0019886","BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","4/162","31/18888",0.129032258064516,15.0442054958184,7.27877357524933,0.000136954241555072,0.0213228180677109,0.0203454027561346,"CTSD/CTSL/IFI30/LGMN",4
"GO:0031638","BP","GO:0031638","zymogen activation","5/162","58/18888",0.0862068965517241,10.0510855683269,6.42104916687585,0.000138519822873826,0.0213228180677109,0.0203454027561346,"ANXA2/CTSL/MELTF/LGMN/CTSZ",5
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","11/162","341/18888",0.032258064516129,3.7610513739546,4.78554416818135,0.000178859506655539,0.0258116625542274,0.0246284833835554,"MPHOSPH10/PRPF6/HNRNPH3/RBM25/HNRNPF/SRSF1/SRSF6/RNPS1/RBM14/CDC5L/PRPF19",11
"GO:0046320","BP","GO:0046320","regulation of fatty acid oxidation","4/162","34/18888",0.117647058823529,13.7167755991285,6.90289397395546,0.000197856636839434,0.0265171380769145,0.0253016206582854,"ACADL/ACADVL/CPT1A/IRS2",4
"GO:0043484","BP","GO:0043484","regulation of RNA splicing","8/162","186/18888",0.043010752688172,5.0147351652728,5.1178297639865,0.00020671653762861,0.0265171380769145,0.0253016206582854,"HNRNPH3/RBM25/HNRNPF/SRSF1/SRSF6/RRP1B/RNPS1/PRPF19",8
"GO:0002495","BP","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","4/162","35/18888",0.114285714285714,13.3248677248677,6.78801109155383,0.000221902212066778,0.02696695829801,0.0257308215986574,"CTSD/CTSL/IFI30/LGMN",4
"GO:0051290","BP","GO:0051290","protein heterotetramerization","3/162","15/18888",0.2,23.3185185185185,8.04279521107099,0.000261240469079279,0.0284218543645815,0.0271190267762618,"NUDT21/CPSF7/HSD17B8",3
"GO:0002504","BP","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","4/162","37/18888",0.108108108108108,12.6046046046046,6.57174193544346,0.00027619350336286,0.0284218543645815,0.0271190267762618,"CTSD/CTSL/IFI30/LGMN",4
"GO:0170039","BP","GO:0170039","proteinogenic amino acid metabolic process","7/162","147/18888",0.0476190476190476,5.55202821869488,5.15327976740652,0.000279598464369238,0.0284218543645815,0.0271190267762618,"PLOD2/DHFR/GLUL/CPS1/DGLUCY/PYCR2/CTPS2",7
"GO:0008380","BP","GO:0008380","RNA splicing","13/162","484/18888",0.0268595041322314,3.13161922252831,4.41868135551529,0.000283110719092843,0.0284218543645815,0.0271190267762618,"MPHOSPH10/PRPF6/HNRNPH3/RBM25/HNRNPF/SRSF1/SRSF6/PPIG/RRP1B/RNPS1/RBM14/CDC5L/PRPF19",13
"GO:1901607","BP","GO:1901607","alpha-amino acid biosynthetic process","5/162","69/18888",0.072463768115942,8.44873859366613,5.76534758624417,0.000314960222547555,0.0295095577502483,0.0281568709950854,"PLOD2/DHFR/GLUL/CPS1/PYCR2",5
"GO:0006577","BP","GO:0006577","amino-acid betaine metabolic process","3/162","16/18888",0.1875,21.8611111111111,7.76434727046199,0.00031950582232837,0.0295095577502483,0.0281568709950854,"ACADL/ALDH7A1/CPT1A",3
"GO:0044282","BP","GO:0044282","small molecule catabolic process","11/162","373/18888",0.0294906166219839,3.43838744911131,4.42396578915278,0.000384937078287656,0.0341853736063922,0.0326183524233224,"BCKDK/GLUL/ACADL/ETFB/ECI1/ACADVL/CPT1A/DECR1/ECHDC2/NUDT8/IRS2",11
"GO:0002478","BP","GO:0002478","antigen processing and presentation of exogenous peptide antigen","4/162","41/18888",0.0975609756097561,11.3748870822042,6.18544115546802,0.000412369200181627,0.0352652030821991,0.0336486836639433,"CTSD/CTSL/IFI30/LGMN",4
"GO:0009064","BP","GO:0009064","glutamine family amino acid metabolic process","5/162","74/18888",0.0675675675675676,7.87787787787788,5.51373943013123,0.000436190425029725,0.035970131835487,0.034321299232602,"GLUL/CPS1/DGLUCY/PYCR2/CTPS2",5
"GO:0010755","BP","GO:0010755","regulation of plasminogen activation","3/162","18/18888",0.166666666666667,19.4320987654321,7.27681911046065,0.000459734947414333,0.0366044135717137,0.0349265061683557,"ANXA2/MELTF/CTSZ",3
"GO:0170033","BP","GO:0170033","L-amino acid metabolic process","7/162","163/18888",0.0429447852760736,5.00704385366962,4.77885080762822,0.000521674975166125,0.0401515839219528,0.0383110780007965,"PLOD2/DHFR/GLUL/CPS1/DGLUCY/PYCR2/CTPS2",7
"GO:1902001","BP","GO:1902001","fatty acid transmembrane transport","3/162","19/18888",0.157894736842105,18.4093567251462,7.06157490801393,0.000542507890643884,0.0404080877257009,0.0385558239428743,"SLC25A20/CPT1A/IRS2",3
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","10/162","337/18888",0.029673590504451,3.45972084844488,4.23773307305622,0.00067559910862262,0.0472714649033221,0.0451045912072454,"PRPF6/HNRNPH3/RBM25/HNRNPF/SRSF1/SRSF6/RNPS1/RBM14/CDC5L/PRPF19",10
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","10/162","337/18888",0.029673590504451,3.45972084844488,4.23773307305622,0.00067559910862262,0.0472714649033221,0.0451045912072454,"PRPF6/HNRNPH3/RBM25/HNRNPF/SRSF1/SRSF6/RNPS1/RBM14/CDC5L/PRPF19",10
"GO:0005759","CC","GO:0005759","mitochondrial matrix","27/168","491/19894",0.054989816700611,6.51171079429735,11.4124265009973,9.45761111674025e-15,3.15884211299124e-12,2.70786339342458e-12,"METTL15/LIPT2/BCKDK/FDXR/ACADL/SHC1/CPS1/ATP5F1C/ETFB/ECI1/IDH2/ALDH7A1/ACADVL/ACOT2/DHRS2/DECR1/DGLUCY/NAXD/PDPR/HSD17B8/PYCR2/ACSF2/NMNAT3/MTG1/ALKBH7/PDP1/ACOT9",27
"GO:0043202","CC","GO:0043202","lysosomal lumen","9/168","98/19894",0.0918367346938776,10.875,9.04371124446774,1.45720724215426e-07,2.43353609439761e-05,2.08610720982083e-05,"TPP1/GPC4/CTSD/CTSL/IFI30/ARSA/SMPD1/SGSH/LGMN",9
"GO:0005775","CC","GO:0005775","vacuolar lumen","11/168","176/19894",0.0625,7.40104166666667,7.87156026428071,3.08446836385642e-07,3.43404144509348e-05,2.94377331568051e-05,"TPP1/GPC4/CTSD/ANXA2/CTSL/IFI30/ARSA/SMPD1/SGSH/LGMN/DPP7",11
"GO:0000228","CC","GO:0000228","nuclear chromosome","11/168","226/19894",0.0486725663716814,5.76364306784661,6.64658557362606,3.60940470129093e-06,0.000301385292557793,0.000258357389145035,"RAD21/ACTL6A/RPA2/POLD1/MCM4/HSPA2/HDAC1/CDC5L/MACROH2A2/SUN2/PRPF19",11
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","14/168","428/19894",0.0327102803738318,3.87344236760125,5.54589041387388,1.70430738796827e-05,0.00113847733516281,0.000975940230583936,"GPC4/TIMP1/FN1/ANXA1/CTSD/ANXA2/CTSL/SPARC/FBN1/COL18A1/BCAM/HDGF/IGFBP7/CTSZ",14
"GO:0043601","CC","GO:0043601","nuclear replisome","4/168","22/19894",0.181818181818182,21.530303030303,8.89142109150193,3.18745017590891e-05,0.0017743472645893,0.00152102885587232,"RPA2/POLD1/CDC5L/PRPF19",4
"GO:0030894","CC","GO:0030894","replisome","4/168","24/19894",0.166666666666667,19.7361111111111,8.47561865765674,4.56957625567526e-05,0.00218034067056505,0.00186905976171981,"RPA2/POLD1/CDC5L/PRPF19",4
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane","14/168","499/19894",0.0280561122244489,3.32231128924516,4.84854110701231,8.99013900708602e-05,0.00375338303545842,0.003217523434115,"SLC25A20/FDXR/CPS1/ATP5F1C/ACADVL/NNT/TTC19/RDH13/PTPMT1/SLC25A36/DNAJC30/MTG1/TMEM70/SLC25A22",14
"GO:0005604","CC","GO:0005604","basement membrane","6/168","92/19894",0.0652173913043478,7.72282608695652,5.96453415694077,0.000129808996380308,0.00481735608789143,0.00412959614215717,"TIMP1/FN1/ANXA2/SPARC/FBN1/COL18A1",6
"GO:0005662","CC","GO:0005662","DNA replication factor A complex","3/168","13/19894",0.230769230769231,27.3269230769231,8.76269984565521,0.000158979735182413,0.0053099231550926,0.00455184083890699,"RPA2/CDC5L/PRPF19",3
"GO:0034399","CC","GO:0034399","nuclear periphery","7/168","150/19894",0.0466666666666667,5.52611111111111,5.13497740966773,0.000289061443019178,0.00877695654258231,0.00752389593313076,"RAD21/ACTL6A/ANXA2/VIM/SPARC/TPR/PPIG",7
"GO:0043596","CC","GO:0043596","nuclear replication fork","4/168","41/19894",0.0975609756097561,11.5528455284553,6.24214288887908,0.000389454066624882,0.0108398048543925,0.00929223737911998,"RPA2/POLD1/CDC5L/PRPF19",4
"GO:0098687","CC","GO:0098687","chromosomal region","11/168","402/19894",0.027363184079602,3.24025704809287,4.18762655668781,0.000635928899559338,0.0162364237141446,0.0139183966285766,"RAD21/CLASP2/ACTL6A/TPR/RPA2/POLD1/MCM4/CBX5/CBX1/MACROH2A2/SUN2",11
"GO:0000781","CC","GO:0000781","chromosome, telomeric region","7/168","173/19894",0.0404624277456647,4.79142581888247,4.62217533802437,0.000680568658676721,0.0162364237141446,0.0139183966285766,"RPA2/POLD1/MCM4/CBX5/CBX1/MACROH2A2/SUN2",7
"GO:0016363","CC","GO:0016363","nuclear matrix","6/168","128/19894",0.046875,5.55078125,4.76668899558447,0.00076952499804585,0.0171347566231543,0.0146884771556822,"RAD21/ACTL6A/ANXA2/VIM/SPARC/PPIG",6
"GO:0071013","CC","GO:0071013","catalytic step 2 spliceosome","5/168","91/19894",0.0549450549450549,6.50641025641026,4.85857639313057,0.00104804865236747,0.0206462506794406,0.0176986453980707,"PRPF6/HNRNPF/SRSF1/CDC5L/PRPF19",5
"GO:0005847","CC","GO:0005847","mRNA cleavage and polyadenylation specificity factor complex","3/168","24/19894",0.125,14.8020833333333,6.24362197260666,0.00105085707051045,0.0206462506794406,0.0176986453980707,"NUDT21/CPSF7/CPSF2",3
"GO:0034774","CC","GO:0034774","secretory granule lumen","9/168","322/19894",0.0279503105590062,3.30978260869565,3.8562635477038,0.00170402765304437,0.0281379476483183,0.0241207745362199,"TIMP1/FN1/CTSD/ANXA2/SPARC/ARSA/DNASE1L1/CTSZ/DPP7",9
"GO:0060205","CC","GO:0060205","cytoplasmic vesicle lumen","9/168","325/19894",0.0276923076923077,3.27923076923077,3.82323445000889,0.00181510802562008,0.0281379476483183,0.0241207745362199,"TIMP1/FN1/CTSD/ANXA2/SPARC/ARSA/DNASE1L1/CTSZ/DPP7",9
"GO:0005849","CC","GO:0005849","mRNA cleavage factor complex","3/168","29/19894",0.103448275862069,12.25,5.59490226581906,0.00183937422494449,0.0281379476483183,0.0241207745362199,"NUDT21/CPSF7/CPSF2",3
"GO:0036019","CC","GO:0036019","endolysosome","3/168","29/19894",0.103448275862069,12.25,5.59490226581906,0.00183937422494449,0.0281379476483183,0.0241207745362199,"CTSL/SMPD1/LGMN",3
"GO:0031983","CC","GO:0031983","vesicle lumen","9/168","326/19894",0.0276073619631902,3.2691717791411,3.8123101180693,0.00185339774929043,0.0281379476483183,0.0241207745362199,"TIMP1/FN1/CTSD/ANXA2/SPARC/ARSA/DNASE1L1/CTSZ/DPP7",9
"GO:0005681","CC","GO:0005681","spliceosomal complex","7/168","208/19894",0.0336538461538462,3.98517628205128,3.99400107354746,0.00197558588820727,0.0286889428983143,0.0245931057937015,"PRPF6/HNRNPH3/HNRNPF/ADAR/SRSF1/CDC5L/PRPF19",7
"GO:0016607","CC","GO:0016607","nuclear speck","10/168","416/19894",0.0240384615384615,2.84655448717949,3.51254485984489,0.00288734080406745,0.0401821595232721,0.0344454692415065,"PRPF6/RBM25/SRSF1/SRSF6/PPIG/RNPS1/RBM14/CDC5L/NXF1/PRPF19",10
"GO:0005657","CC","GO:0005657","replication fork","4/168","74/19894",0.0540540540540541,6.4009009009009,4.2955176832461,0.00356703048380033,0.0476555272635723,0.0408518859618395,"RPA2/POLD1/CDC5L/PRPF19",4
"GO:0090734","CC","GO:0090734","site of DNA damage","5/168","123/19894",0.040650406504065,4.81368563685637,3.91533022155805,0.00392548218691606,0.0496948705008027,0.0426000780845204,"RPA2/CBX5/CBX1/PRPF19/SAMHD1",5
"GO:0031904","CC","GO:0031904","endosome lumen","3/168","38/19894",0.0789473684210526,9.34868421052632,4.75389098268485,0.00401725001054393,0.0496948705008027,0.0426000780845204,"CTSD/CTSL/LGMN",3
