"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032329","BP","GO:0032329","serine transport","3/170","10/18888",0.3,33.3317647058823,9.74602784977154,8.20601336869521e-05,0.0195150156065531,0.0173591135085702,"SLC1A4/SLC1A5/SLC38A2",3
"GO:0051701","BP","GO:0051701","biological process involved in interaction with host","9/170","202/18888",0.0445544554455446,4.95026208503203,5.379224282621,9.16341537878117e-05,0.0195150156065531,0.0173591135085702,"NRP1/SNX3/DAG1/SLC1A5/SCARB1/CHMP6/VAMP8/VAPA/VPS18",9
"GO:0045859","BP","GO:0045859","regulation of protein kinase activity","14/170","470/18888",0.0297872340425532,3.30953692115144,4.83202122700729,9.33732804141296e-05,0.0195150156065531,0.0173591135085702,"TNFRSF10A/PSMD10/APP/UCHL1/TXN/CDKN2A/PLK1/EPHA4/YWHAG/CHMP6/PRRC1/TAOK3/BCCIP/TAOK2",14
"GO:2000169","BP","GO:2000169","regulation of peptidyl-cysteine S-nitrosylation","3/170","11/18888",0.272727272727273,30.3016042780749,9.26397731472114,0.000112086471444263,0.0207966738692177,0.0184991818389958,"NOS1AP/TXN/DMD",3
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","11/170","311/18888",0.0353697749196141,3.92979005106866,4.96483858276581,0.000122536843453581,0.0207966738692177,0.0184991818389958,"NRP1/SNX3/FMR1/DAG1/SLC1A5/ZDHHC20/SCARB1/CHMP6/VAMP8/VAPA/VPS18",11
"GO:0010232","BP","GO:0010232","vascular transport","6/170","87/18888",0.0689655172413793,7.66247464503043,5.93582310918893,0.000134530613461989,0.0207966738692177,0.0184991818389958,"SLC2A1/SLC2A3/SLC1A4/SLC7A5/SLC1A5/SLC38A2",6
"GO:0150104","BP","GO:0150104","transport across blood-brain barrier","6/170","87/18888",0.0689655172413793,7.66247464503043,5.93582310918893,0.000134530613461989,0.0207966738692177,0.0184991818389958,"SLC2A1/SLC2A3/SLC1A4/SLC7A5/SLC1A5/SLC38A2",6
"GO:0016032","BP","GO:0016032","viral process","13/170","428/18888",0.0303738317757009,3.37471137987905,4.73579722793408,0.000137777007598792,0.0207966738692177,0.0184991818389958,"NRP1/SNX3/FMR1/CALCOCO2/DAG1/SLC1A5/ZDHHC20/SCARB1/CHMP6/VAMP8/MVB12B/VAPA/VPS18",13
"GO:0019058","BP","GO:0019058","viral life cycle","11/170","319/18888",0.0344827586206897,3.83123732251521,4.86019380479397,0.000153031346251034,0.0218834825138979,0.0194659263707687,"NRP1/SNX3/FMR1/DAG1/SLC1A5/SCARB1/CHMP6/VAMP8/MVB12B/VAPA/VPS18",11
"GO:0009267","BP","GO:0009267","cellular response to starvation","8/170","172/18888",0.0465116279069767,5.16771545827633,5.23277420610669,0.000168382098762198,0.0228747081168446,0.020347647303053,"SLC2A1/GABARAPL2/YWHAG/SLC7A5/RPTOR/SLC38A2/MAP1LC3B/SH3GLB1",8
"GO:0015824","BP","GO:0015824","proline transport","3/170","13/18888",0.230769230769231,25.6398190045249,8.46919122193049,0.000191723521201946,0.0248053717669375,0.0220650227909608,"SLC1A4/SLC7A5/SLC38A2",3
"GO:0007095","BP","GO:0007095","mitotic G2 DNA damage checkpoint signaling","4/170","37/18888",0.108108108108108,12.0114467408585,6.38931466807136,0.000331794479760431,0.0409766182504133,0.0364497667717679,"PLK1/RINT1/TAOK3/TAOK2",4
"GO:0017014","BP","GO:0017014","protein nitrosylation","3/170","16/18888",0.1875,20.8323529411765,7.56312885072662,0.000368015803059735,0.0416624557047209,0.0370598370098751,"NOS1AP/TXN/DMD",3
"GO:0018119","BP","GO:0018119","peptidyl-cysteine S-nitrosylation","3/170","16/18888",0.1875,20.8323529411765,7.56312885072662,0.000368015803059735,0.0416624557047209,0.0370598370098751,"NOS1AP/TXN/DMD",3
"GO:1903051","BP","GO:1903051","negative regulation of proteolysis involved in protein catabolic process","5/170","70/18888",0.0714285714285714,7.93613445378151,5.54059008410129,0.000420236603897249,0.0437538766002644,0.0389202102451261,"USP14/EPHA4/GABARAPL2/RPL11/UBXN1",5
"GO:0051000","BP","GO:0051000","positive regulation of nitric-oxide synthase activity","3/170","17/18888",0.176470588235294,19.6069204152249,7.3143835972176,0.000443928231901571,0.0437538766002644,0.0389202102451261,"NOS1AP/SCARB1/NUS1",3
"GO:0035337","BP","GO:0035337","fatty-acyl-CoA metabolic process","4/170","40/18888",0.1,11.1105882352941,6.10028340963766,0.000449587823872514,0.0437538766002644,0.0389202102451261,"NUDT19/FAR1/FAR2/PPT2",4
"GO:0042176","BP","GO:0042176","regulation of protein catabolic process","11/170","362/18888",0.0303867403314917,3.37614559636009,4.35023514765897,0.000450904874791095,0.0437538766002644,0.0389202102451261,"SNX3/PSMD10/BCAP31/PLK1/USP14/GABARAPL2/PSMC5/RPL11/UBXN1/FMR1/CHMP6",11
"GO:0032328","BP","GO:0032328","alanine transport","3/170","18/18888",0.166666666666667,18.5176470588235,7.08601885963837,0.000529200954329214,0.0484693352413485,0.0431147332445368,"SLC1A4/SLC7A5/SLC38A2",3
"GO:0046718","BP","GO:0046718","symbiont entry into host cell","7/170","156/18888",0.0448717948717949,4.98552036199095,4.76355831614109,0.000535178526772343,0.0484693352413485,0.0431147332445368,"NRP1/SNX3/DAG1/SLC1A5/SCARB1/VAMP8/VPS18",7
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","5/170","75/18888",0.0666666666666667,7.40705882352941,5.29829999225435,0.000578021588575022,0.04981037223303,0.044307620497467,"PDCD5/FKBP4/PTGES3/HSPH1/FKBP11",5
"GO:0051099","BP","GO:0051099","positive regulation of binding","6/170","115/18888",0.0521739130434783,5.79682864450128,4.91713932565025,0.000609557388849213,0.04981037223303,0.044307620497467,"NRP1/APP/MET/TXN/EPHA4/RPL11",6
"GO:0051347","BP","GO:0051347","positive regulation of transferase activity","11/170","376/18888",0.0292553191489362,3.25043804755945,4.20059240462863,0.000618109052762854,0.04981037223303,0.044307620497467,"TNFRSF10A/PSMD10/MET/TXN/PLK1/EPHA4/PTGES3/NEK7/PRRC1/TAOK3/TAOK2",11
"GO:2000786","BP","GO:2000786","positive regulation of autophagosome assembly","3/170","19/18888",0.157894736842105,17.5430340557276,6.8753332179612,0.00062428376797573,0.04981037223303,0.044307620497467,"PIP4K2A/PIP4K2C/SH3GLB1",3
"GO:0042594","BP","GO:0042594","response to starvation","8/170","212/18888",0.0377358490566038,4.19267480577136,4.45509441556476,0.000683881305648221,0.04981037223303,0.044307620497467,"SLC2A1/GABARAPL2/YWHAG/SLC7A5/RPTOR/SLC38A2/MAP1LC3B/SH3GLB1",8
"GO:0044409","BP","GO:0044409","symbiont entry into host","7/170","163/18888",0.0429447852760736,4.77141826055576,4.60854484517782,0.00069467512562292,0.04981037223303,0.044307620497467,"NRP1/SNX3/DAG1/SLC1A5/SCARB1/VAMP8/VPS18",7
"GO:0018198","BP","GO:0018198","peptidyl-cysteine modification","4/170","45/18888",0.0888888888888889,9.87607843137255,5.68104976087405,0.0007078076089031,0.04981037223303,0.044307620497467,"NOS1AP/TXN/DMD/ZDHHC20",4
"GO:0042149","BP","GO:0042149","cellular response to glucose starvation","4/170","45/18888",0.0888888888888889,9.87607843137255,5.68104976087405,0.0007078076089031,0.04981037223303,0.044307620497467,"SLC2A1/YWHAG/SLC7A5/SH3GLB1",4
"GO:0032386","BP","GO:0032386","regulation of intracellular transport","9/170","267/18888",0.0337078651685393,3.74514210178453,4.30521842795816,0.000718541423534008,0.04981037223303,0.044307620497467,"PDCD5/SNX3/TXN/BCAP31/UFM1/ARHGAP1/RINT1/SUPT6H/NUS1",9
"GO:0016239","BP","GO:0016239","positive regulation of macroautophagy","5/170","79/18888",0.0632911392405063,7.03201787043932,5.11999505238459,0.000733314276526021,0.04981037223303,0.044307620497467,"PIP4K2A/CALCOCO2/PIP4K2C/FYCO1/SH3GLB1",5
"GO:0005774","CC","GO:0005774","vacuolar membrane","24/175","487/19894",0.0492813141683778,5.60229979466119,9.68694658772969,8.41490963600386e-12,2.86106927624131e-09,2.22330770382839e-09,"STARD3NL/CLCN7/GABARAPL2/CCZ1/CCZ1B/SLC7A5/CALCOCO2/LAPTM4A/SLC39A14/OCLN/RPTOR/SPPL2A/SCARB1/BORCS7/RMC1/CHMP6/PLEKHF1/NAPG/VAMP8/TMEM59/MAP1LC3B/VAPA/VPS18/SH3GLB1",24
"GO:0005765","CC","GO:0005765","lysosomal membrane","20/175","443/19894",0.0451467268623025,5.13227990970655,8.28604619444584,2.37229016049269e-09,2.68859551522504e-07,2.08928010625847e-07,"STARD3NL/CLCN7/CCZ1/CCZ1B/SLC7A5/LAPTM4A/SLC39A14/OCLN/RPTOR/SPPL2A/SCARB1/BORCS7/RMC1/CHMP6/PLEKHF1/NAPG/VAMP8/TMEM59/VAPA/VPS18",20
"GO:0098852","CC","GO:0098852","lytic vacuole membrane","20/175","443/19894",0.0451467268623025,5.13227990970655,8.28604619444584,2.37229016049269e-09,2.68859551522504e-07,2.08928010625847e-07,"STARD3NL/CLCN7/CCZ1/CCZ1B/SLC7A5/LAPTM4A/SLC39A14/OCLN/RPTOR/SPPL2A/SCARB1/BORCS7/RMC1/CHMP6/PLEKHF1/NAPG/VAMP8/TMEM59/VAPA/VPS18",20
"GO:0005776","CC","GO:0005776","autophagosome","10/175","119/19894",0.0840336134453782,9.55294117647059,8.81571297673756,9.98263185331319e-08,8.48523707531621e-06,6.59379103995161e-06,"PIP4K2A/GABARAPL2/CALCOCO2/SQSTM1/PIP4K2C/CHMP6/FYCO1/MAP1LC3B/VPS18/SH3GLB1",10
"GO:0005770","CC","GO:0005770","late endosome","14/175","314/19894",0.0445859872611465,5.06853503184713,6.84578510704011,7.75315802971003e-07,5.27214746020282e-05,4.09693192727835e-05,"STARD3NL/CCZ1/CCZ1B/SQSTM1/LAPTM4A/SLC39A14/SPPL2A/RMC1/CHMP6/FYCO1/VAMP8/TMEM59/MVB12B/VPS18",14
"GO:0031902","CC","GO:0031902","late endosome membrane","10/175","174/19894",0.0574712643678161,6.53333333333333,6.90612960452934,3.33676105541087e-06,0.000189083126473283,0.000146934565773356,"STARD3NL/LAPTM4A/SLC39A14/SPPL2A/RMC1/CHMP6/VAMP8/TMEM59/MVB12B/VPS18",10
"GO:0044295","CC","GO:0044295","axonal growth cone","4/175","27/19894",0.148148148148148,16.8414814814815,7.75958066730541,8.66829026475652e-05,0.00421031241431031,0.00327179076158479,"EPHA4/FKBP4/NEO1/TAOK2",4
"GO:0030667","CC","GO:0030667","secretory granule membrane","11/175","317/19894",0.0347003154574132,3.94473186119874,4.97884995279738,0.000119455767635186,0.00507687012449539,0.00394518390479363,"AGPAT2/SLC2A3/RAB4B/RAB31/ITPR2/ITPR1/ANO6/MOSPD2/VAMP8/RAB18/VAPA",11
"GO:0000421","CC","GO:0000421","autophagosome membrane","5/175","57/19894",0.087719298245614,9.9719298245614,6.39016425195355,0.000143859548907959,0.00543469406985621,0.00422324523694709,"GABARAPL2/CALCOCO2/CHMP6/MAP1LC3B/SH3GLB1",5
"GO:0008180","CC","GO:0008180","COP9 signalosome","4/175","36/19894",0.111111111111111,12.6311111111111,6.58008378982044,0.00027353796830954,0.00930029092252437,0.00722716105744154,"BASP1/AMOT/WDR6/COPS3",4
"GO:0005769","CC","GO:0005769","early endosome","12/175","428/19894",0.0280373831775701,3.18728971962617,4.30939753494726,0.00042134579978523,0.0130234156297253,0.0101203632292912,"NRP1/SNX3/APP/EPHA4/RAB31/RFTN1/SLC39A14/PLEKHF1/VAMP8/MVB12B/VPS18/NISCH",12
"GO:0030135","CC","GO:0030135","coated vesicle","10/175","317/19894",0.0315457413249211,3.58611987381703,4.37252130876215,0.000516900010223891,0.0146455002896769,0.0113808686461576,"SNX3/APP/LMAN1/BCAP31/RAB8A/COPZ1/YIF1B/VAMP8/LMAN2L/VPS18",10
"GO:0030426","CC","GO:0030426","growth cone","7/175","164/19894",0.0426829268292683,4.85219512195122,4.66652267579018,0.000631587792763023,0.0165184499645714,0.0128363187031189,"APP/EPHA4/BASP1/FKBP4/FMR1/NEO1/TAOK2",7
"GO:0030427","CC","GO:0030427","site of polarized growth","7/175","169/19894",0.0414201183431953,4.70863905325444,4.56116870403095,0.000754293349699208,0.0179507189421319,0.0139493202924926,"APP/EPHA4/BASP1/FKBP4/FMR1/NEO1/TAOK2",7
"GO:0005838","CC","GO:0005838","proteasome regulatory particle","3/175","21/19894",0.142857142857143,16.24,6.58248109167838,0.000791943482741112,0.0179507189421319,0.0139493202924926,"PSMD10/PSMC5/ADRM1",3
"GO:0032045","CC","GO:0032045","guanyl-nucleotide exchange factor complex","3/175","23/19894",0.130434782608696,14.8278260869565,6.25078681284613,0.00104100246379491,0.0209484874558733,0.0162788555771647,"CCZ1/CCZ1B/RMC1",3
"GO:0044232","CC","GO:0044232","organelle membrane contact site","4/175","51/19894",0.0784313725490196,8.91607843137255,5.33234490445016,0.00104742437279366,0.0209484874558733,0.0162788555771647,"STARD3NL/BCAP31/MOSPD2/RMDN3",4
"GO:0022624","CC","GO:0022624","proteasome accessory complex","3/175","24/19894",0.125,14.21,6.10008978211023,0.00118206338478537,0.0223278639348347,0.0173507549462647,"PSMD10/PSMC5/ADRM1",3
"GO:0035579","CC","GO:0035579","specific granule membrane","5/175","91/19894",0.0549450549450549,6.24615384615385,4.72522993844246,0.00125669088254649,0.0224881526350425,0.0174753136575717,"AGPAT2/SLC2A3/ANO6/MOSPD2/VAMP8",5
"GO:0042383","CC","GO:0042383","sarcolemma","6/175","141/19894",0.0425531914893617,4.83744680851064,4.30786530166488,0.00156541400054622,0.0259902006337522,0.0201967193779313,"NOS1AP/SLC2A1/DMD/DAG1/SLC38A2/DTNA",6
"GO:0005777","CC","GO:0005777","peroxisome","6/175","143/19894",0.041958041958042,4.76979020979021,4.26203859952995,0.00168171886453691,0.0259902006337522,0.0201967193779313,"NUDT19/PEX12/FAR1/ISOC1/FAR2/CROT",6
"GO:0042579","CC","GO:0042579","microbody","6/175","143/19894",0.041958041958042,4.76979020979021,4.26203859952995,0.00168171886453691,0.0259902006337522,0.0201967193779313,"NUDT19/PEX12/FAR1/ISOC1/FAR2/CROT",6
"GO:0000502","CC","GO:0000502","proteasome complex","4/175","62/19894",0.0645161290322581,7.3341935483871,4.70576938143357,0.00216943018447207,0.0320698375095871,0.0249211430802055,"PSMD10/USP14/PSMC5/ADRM1",4
"GO:0030175","CC","GO:0030175","filopodium","5/175","106/19894",0.0471698113207547,5.3622641509434,4.24219535496221,0.00246447967432931,0.0349134620529985,0.0271308946603797,"NOS1AP/DMD/EPHA4/FMR1/DAG1",5
"GO:0005641","CC","GO:0005641","nuclear envelope lumen","2/175","10/19894",0.2,22.736,6.47671027943653,0.00330539774101855,0.0449534092778523,0.0349328350735014,"APP/CACYBP",2
"GO:0009925","CC","GO:0009925","basal plasma membrane","8/175","286/19894",0.027972027972028,3.17986013986014,3.498015420755,0.00389361483598795,0.0455218899041461,0.0353745955601878,"MET/SLC2A1/EPCAM/EPPK1/SLC7A5/DAG1/SLC39A14/SLC1A5",8
"GO:0045121","CC","GO:0045121","membrane raft","8/175","286/19894",0.027972027972028,3.17986013986014,3.498015420755,0.00389361483598795,0.0455218899041461,0.0353745955601878,"TNFRSF10A/NOS1AP/APP/SLC2A1/DMD/DAG1/RFTN1/SCARB1",8
"GO:0030139","CC","GO:0030139","endocytic vesicle","9/175","350/19894",0.0257142857142857,2.9232,3.41962487588914,0.00390934917017128,0.0455218899041461,0.0353745955601878,"SNX3/RAB8A/RAB31/GAPVD1/OCLN/AMOT/SCARB1/HSPH1/VAMP8",9
"GO:0098857","CC","GO:0098857","membrane microdomain","8/175","287/19894",0.0278745644599303,3.16878048780488,3.48640385742472,0.00397594220063608,0.0455218899041461,0.0353745955601878,"TNFRSF10A/NOS1AP/APP/SLC2A1/DMD/DAG1/RFTN1/SCARB1",8
"GO:0031094","CC","GO:0031094","platelet dense tubular network","2/175","11/19894",0.181818181818182,20.6690909090909,6.14704505192476,0.00401663734448347,0.0455218899041461,0.0353745955601878,"ITPR2/ITPR1",2
"GO:0097431","CC","GO:0097431","mitotic spindle pole","3/175","38/19894",0.0789473684210526,8.97473684210526,4.63541902715273,0.0045024453521494,0.0493741163007378,0.0383681213358674,"PLK1/RMDN3/BCCIP",3
"GO:0008540","CC","GO:0008540","proteasome regulatory particle, base subcomplex","2/175","12/19894",0.166666666666667,18.9466666666667,5.85829324291599,0.00479219364095396,0.0493741163007378,0.0383681213358674,"PSMD10/PSMC5",2
"GO:1990229","CC","GO:1990229","iron-sulfur cluster assembly complex","2/175","12/19894",0.166666666666667,18.9466666666667,5.85829324291599,0.00479219364095396,0.0493741163007378,0.0383681213358674,"BOLA2/BOLA2B",2
"GO:0015631","MF","GO:0015631","tubulin binding","14/170","383/18522",0.0365535248041775,3.98261403778222,5.67681511827221,1.24103419931649e-05,0.00563429526489688,0.00484656513627809,"PDCD5/PLK1/GABARAPL2/FMR1/DAG1/TTLL12/HSPH1/RMDN3/MAP1LC3B/CACYBP/VAPA/DIP2B/NISCH/KNSTRN",14
